name,primaryLanguage,languages,url,stargazers,watchers,forks,diskUsage
industry-machine-learning,{'name': 'Jupyter Notebook'},{'totalCount': 1},https://github.com/firmai/industry-machine-learning,{'totalCount': 5181},{'totalCount': 338},{'totalCount': 750},3070
3D-Machine-Learning,,{'totalCount': 0},https://github.com/timzhang642/3D-Machine-Learning,{'totalCount': 5176},{'totalCount': 510},{'totalCount': 1087},22119
catboost,{'name': 'C++'},{'totalCount': 23},https://github.com/catboost/catboost,{'totalCount': 5138},{'totalCount': 190},{'totalCount': 745},475502
d2l-en,{'name': 'Python'},{'totalCount': 4},https://github.com/d2l-ai/d2l-en,{'totalCount': 5125},{'totalCount': 197},{'totalCount': 1237},188659
tiny-dnn,{'name': 'C++'},{'totalCount': 5},https://github.com/tiny-dnn/tiny-dnn,{'totalCount': 5109},{'totalCount': 346},{'totalCount': 1259},25554
pandas-profiling,{'name': 'Jupyter Notebook'},{'totalCount': 8},https://github.com/pandas-profiling/pandas-profiling,{'totalCount': 5105},{'totalCount': 128},{'totalCount': 698},97900
data-science-blogs,{'name': 'Python'},{'totalCount': 1},https://github.com/rushter/data-science-blogs,{'totalCount': 5100},{'totalCount': 459},{'totalCount': 1084},372
leeml-notes,,{'totalCount': 0},https://github.com/datawhalechina/leeml-notes,{'totalCount': 5061},{'totalCount': 229},{'totalCount': 1554},251101
ML-NLP,{'name': 'Jupyter Notebook'},{'totalCount': 3},https://github.com/NLP-LOVE/ML-NLP,{'totalCount': 5040},{'totalCount': 247},{'totalCount': 1582},11965
machine_learning_examples,{'name': 'Python'},{'totalCount': 1},https://github.com/lazyprogrammer/machine_learning_examples,{'totalCount': 5019},{'totalCount': 573},{'totalCount': 4496},22465
TensorFlow-2.x-Tutorials,{'name': 'Jupyter Notebook'},{'totalCount': 2},https://github.com/dragen1860/TensorFlow-2.x-Tutorials,{'totalCount': 5013},{'totalCount': 213},{'totalCount': 1682},166775
CVPR2020-Paper-Code-Interpretation,,{'totalCount': 0},https://github.com/extreme-assistant/CVPR2020-Paper-Code-Interpretation,{'totalCount': 4984},{'totalCount': 250},{'totalCount': 1200},928
ImageAI,{'name': 'Python'},{'totalCount': 1},https://github.com/OlafenwaMoses/ImageAI,{'totalCount': 4896},{'totalCount': 268},{'totalCount': 1401},62139
TopDeepLearning,{'name': 'Python'},{'totalCount': 1},https://github.com/aymericdamien/TopDeepLearning,{'totalCount': 4864},{'totalCount': 348},{'totalCount': 769},47
cortex,{'name': 'Go'},{'totalCount': 5},https://github.com/cortexlabs/cortex,{'totalCount': 4859},{'totalCount': 129},{'totalCount': 378},4833
have-fun-with-machine-learning,{'name': 'Python'},{'totalCount': 1},https://github.com/humphd/have-fun-with-machine-learning,{'totalCount': 4850},{'totalCount': 205},{'totalCount': 515},7887
featuretools,{'name': 'Python'},{'totalCount': 3},https://github.com/FeatureLabs/featuretools,{'totalCount': 4848},{'totalCount': 150},{'totalCount': 618},6037
h2o-3,{'name': 'Jupyter Notebook'},{'totalCount': 19},https://github.com/h2oai/h2o-3,{'totalCount': 4806},{'totalCount': 395},{'totalCount': 1691},462088
PyTorch-Tutorial,{'name': 'Jupyter Notebook'},{'totalCount': 2},https://github.com/MorvanZhou/PyTorch-Tutorial,{'totalCount': 4792},{'totalCount': 195},{'totalCount': 2184},13383
smile,{'name': 'Java'},{'totalCount': 13},https://github.com/haifengl/smile,{'totalCount': 4778},{'totalCount': 260},{'totalCount': 958},245536
awesome-machine-learning-on-source-code,,{'totalCount': 0},https://github.com/src-d/awesome-machine-learning-on-source-code,{'totalCount': 4768},{'totalCount': 348},{'totalCount': 684},611
keras-js,{'name': 'JavaScript'},{'totalCount': 4},https://github.com/transcranial/keras-js,{'totalCount': 4732},{'totalCount': 184},{'totalCount': 480},18004
useful-java-links,{'name': 'Java'},{'totalCount': 2},https://github.com/Vedenin/useful-java-links,{'totalCount': 4705},{'totalCount': 525},{'totalCount': 948},2686
Data-Analysis-and-Machine-Learning-Projects,{'name': 'Jupyter Notebook'},{'totalCount': 2},https://github.com/rhiever/Data-Analysis-and-Machine-Learning-Projects,{'totalCount': 4693},{'totalCount': 323},{'totalCount': 1707},20416
nlp-recipes,{'name': 'Python'},{'totalCount': 6},https://github.com/microsoft/nlp-recipes,{'totalCount': 4692},{'totalCount': 174},{'totalCount': 567},48701
PRMLT,{'name': 'MATLAB'},{'totalCount': 1},https://github.com/PRML/PRMLT,{'totalCount': 4647},{'totalCount': 395},{'totalCount': 1807},506
keras-rl,{'name': 'Python'},{'totalCount': 1},https://github.com/keras-rl/keras-rl,{'totalCount': 4635},{'totalCount': 231},{'totalCount': 1165},1414
Awesome-CoreML-Models,{'name': 'Python'},{'totalCount': 1},https://github.com/likedan/Awesome-CoreML-Models,{'totalCount': 4600},{'totalCount': 233},{'totalCount': 362},3070
cleverhans,{'name': 'Python'},{'totalCount': 3},https://github.com/tensorflow/cleverhans,{'totalCount': 4556},{'totalCount': 196},{'totalCount': 1098},8631
edward,{'name': 'Jupyter Notebook'},{'totalCount': 5},https://github.com/blei-lab/edward,{'totalCount': 4507},{'totalCount': 296},{'totalCount': 753},29865
TensorFlow-World,{'name': 'Python'},{'totalCount': 3},https://github.com/astorfi/TensorFlow-World,{'totalCount': 4488},{'totalCount': 173},{'totalCount': 409},26384
machine-learning-mindmap,,{'totalCount': 0},https://github.com/dformoso/machine-learning-mindmap,{'totalCount': 4424},{'totalCount': 266},{'totalCount': 745},15538
imbalanced-learn,{'name': 'Python'},{'totalCount': 5},https://github.com/scikit-learn-contrib/imbalanced-learn,{'totalCount': 4416},{'totalCount': 153},{'totalCount': 914},21313
serving,{'name': 'C++'},{'totalCount': 6},https://github.com/tensorflow/serving,{'totalCount': 4403},{'totalCount': 249},{'totalCount': 1704},9460
TensorFlow-Book,{'name': 'Jupyter Notebook'},{'totalCount': 2},https://github.com/BinRoot/TensorFlow-Book,{'totalCount': 4395},{'totalCount': 319},{'totalCount': 1138},45766
seq2seq-couplet,{'name': 'Python'},{'totalCount': 1},https://github.com/wb14123/seq2seq-couplet,{'totalCount': 4387},{'totalCount': 130},{'totalCount': 873},38
trax,{'name': 'Python'},{'totalCount': 3},https://github.com/google/trax,{'totalCount': 4364},{'totalCount': 117},{'totalCount': 321},4467
